"Year","District","FIPS","Variable","Value","Measure Type"
"2015-2016","Darien School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Deep River School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Deep River School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Deep River School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Deep River School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Deep River School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Deep River School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Deep River School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Deep River School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Department of Mental Health and Addiction Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Department of Mental Health and Addiction Services","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Department of Mental Health and Addiction Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Department of Mental Health and Addiction Services","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Department of Mental Health and Addiction Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Department of Mental Health and Addiction Services","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Department of Mental Health and Addiction Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Department of Mental Health and Addiction Services","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Derby School District","900919550","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Derby School District","900919550","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Derby School District","900919550","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Derby School District","900919550","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Derby School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Derby School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Derby School District","900919550","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Derby School District","900919550","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Eastern Connecticut Regional Educational Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Eastern Connecticut Regional Educational Services","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Eastern Connecticut Regional Educational Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Eastern Connecticut Regional Educational Services","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Eastern Connecticut Regional Educational Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Eastern Connecticut Regional Educational Services","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Eastern Connecticut Regional Educational Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Eastern Connecticut Regional Educational Services","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Eastford School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Eastford School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Eastford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Eastford School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Eastford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Eastford School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Eastford School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Eastford School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","East Granby School District","900322070","Number of students with at least 1 bullying incident","7","Number"
"2012-2013","East Granby School District","900322070","Counts of Bullying Incidents","7","Number"
"2013-2014","East Granby School District","900322070","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","East Granby School District","900322070","Counts of Bullying Incidents","-9999","Number"
"2014-2015","East Granby School District","900322070","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","East Granby School District","900322070","Counts of Bullying Incidents","6","Number"
"2015-2016","East Granby School District","900322070","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","East Granby School District","900322070","Counts of Bullying Incidents","-9999","Number"
"2012-2013","East Haddam School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","East Haddam School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","East Haddam School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","East Haddam School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","East Haddam School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","East Haddam School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","East Haddam School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","East Haddam School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","East Hampton School District","900722490","Number of students with at least 1 bullying incident","21","Number"
"2012-2013","East Hampton School District","900722490","Counts of Bullying Incidents","23","Number"
"2013-2014","East Hampton School District","900722490","Number of students with at least 1 bullying incident","12","Number"
"2013-2014","East Hampton School District","900722490","Counts of Bullying Incidents","13","Number"
"2014-2015","East Hampton School District","900722490","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","East Hampton School District","900722490","Counts of Bullying Incidents","-9999","Number"
"2015-2016","East Hampton School District","900722490","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","East Hampton School District","900722490","Counts of Bullying Incidents","-9999","Number"
"2012-2013","East Hartford School District","900322630","Number of students with at least 1 bullying incident","43","Number"
"2012-2013","East Hartford School District","900322630","Counts of Bullying Incidents","46","Number"
"2013-2014","East Hartford School District","900322630","Number of students with at least 1 bullying incident","33","Number"
"2013-2014","East Hartford School District","900322630","Counts of Bullying Incidents","37","Number"
"2014-2015","East Hartford School District","900322630","Number of students with at least 1 bullying incident","24","Number"
"2014-2015","East Hartford School District","900322630","Counts of Bullying Incidents","26","Number"
"2015-2016","East Hartford School District","900322630","Number of students with at least 1 bullying incident","7","Number"
"2015-2016","East Hartford School District","900322630","Counts of Bullying Incidents","8","Number"
"2012-2013","East Haven School District","900922910","Number of students with at least 1 bullying incident","7","Number"
"2012-2013","East Haven School District","900922910","Counts of Bullying Incidents","7","Number"
"2013-2014","East Haven School District","900922910","Number of students with at least 1 bullying incident","8","Number"
"2013-2014","East Haven School District","900922910","Counts of Bullying Incidents","8","Number"
"2014-2015","East Haven School District","900922910","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","East Haven School District","900922910","Counts of Bullying Incidents","-9999","Number"
"2015-2016","East Haven School District","900922910","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","East Haven School District","900922910","Counts of Bullying Incidents","-9999","Number"
"2012-2013","East Lyme School District","901123400","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","East Lyme School District","901123400","Counts of Bullying Incidents","6","Number"
"2013-2014","East Lyme School District","901123400","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","East Lyme School District","901123400","Counts of Bullying Incidents","-9999","Number"
"2014-2015","East Lyme School District","901123400","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","East Lyme School District","901123400","Counts of Bullying Incidents","-9999","Number"
"2015-2016","East Lyme School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","East Lyme School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Easton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Easton School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Easton School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Easton School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Easton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Easton School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Easton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Easton School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","East Windsor School District","900324800","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","East Windsor School District","900324800","Counts of Bullying Incidents","-9999","Number"
"2013-2014","East Windsor School District","900324800","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","East Windsor School District","900324800","Counts of Bullying Incidents","-9999","Number"
"2014-2015","East Windsor School District","900324800","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","East Windsor School District","900324800","Counts of Bullying Incidents","-9999","Number"
"2015-2016","East Windsor School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","East Windsor School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Education Connection","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Education Connection","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Education Connection","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Education Connection","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Education Connection","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Education Connection","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Education Connection","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Education Connection","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Ellington School District","901325360","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Ellington School District","901325360","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Ellington School District","901325360","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Ellington School District","901325360","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Ellington School District","901325360","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Ellington School District","901325360","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Ellington School District","901325360","Number of students with at least 1 bullying incident","10","Number"
"2015-2016","Ellington School District","901325360","Counts of Bullying Incidents","11","Number"
"2012-2013","Elm City College Preparatory School District","","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Elm City College Preparatory School District","","Counts of Bullying Incidents","6","Number"
"2013-2014","Elm City College Preparatory School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Elm City College Preparatory School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Elm City College Preparatory School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Elm City College Preparatory School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Elm City College Preparatory School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Elm City College Preparatory School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Elm City Montessori School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Elm City Montessori School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Elm City Montessori School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Elm City Montessori School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Elm City Montessori School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Elm City Montessori School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Elm City Montessori School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Elm City Montessori School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Enfield School District","900325990","Number of students with at least 1 bullying incident","11","Number"
"2012-2013","Enfield School District","900325990","Counts of Bullying Incidents","12","Number"
"2013-2014","Enfield School District","900325990","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Enfield School District","900325990","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Enfield School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Enfield School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Enfield School District","900325990","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Enfield School District","900325990","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Essex School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Essex School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Essex School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Essex School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Essex School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Essex School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Essex School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Essex School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Explorations District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Explorations District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Explorations District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Explorations District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Explorations District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Explorations District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Explorations District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Explorations District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Fairfield School District","900126620","Number of students with at least 1 bullying incident","10","Number"
"2012-2013","Fairfield School District","900126620","Counts of Bullying Incidents","12","Number"
"2013-2014","Fairfield School District","900126620","Number of students with at least 1 bullying incident","10","Number"
"2013-2014","Fairfield School District","900126620","Counts of Bullying Incidents","11","Number"
"2014-2015","Fairfield School District","900126620","Number of students with at least 1 bullying incident","7","Number"
"2014-2015","Fairfield School District","900126620","Counts of Bullying Incidents","7","Number"
"2015-2016","Fairfield School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Fairfield School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Farmington School District","900327600","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Farmington School District","900327600","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Farmington School District","900327600","Number of students with at least 1 bullying incident","9","Number"
"2013-2014","Farmington School District","900327600","Counts of Bullying Incidents","10","Number"
"2014-2015","Farmington School District","900327600","Number of students with at least 1 bullying incident","7","Number"
"2014-2015","Farmington School District","900327600","Counts of Bullying Incidents","8","Number"
"2015-2016","Farmington School District","900327600","Number of students with at least 1 bullying incident","12","Number"
"2015-2016","Farmington School District","900327600","Counts of Bullying Incidents","15","Number"
"2012-2013","Franklin School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Franklin School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Franklin School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Franklin School District","","Counts of Bullying Incidents","6","Number"
"2014-2015","Franklin School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Franklin School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Franklin School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Franklin School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Glastonbury School District","900331240","Number of students with at least 1 bullying incident","8","Number"
"2012-2013","Glastonbury School District","900331240","Counts of Bullying Incidents","9","Number"
"2013-2014","Glastonbury School District","900331240","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Glastonbury School District","900331240","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Glastonbury School District","900331240","Number of students with at least 1 bullying incident","15","Number"
"2014-2015","Glastonbury School District","900331240","Counts of Bullying Incidents","18","Number"
"2015-2016","Glastonbury School District","900331240","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Glastonbury School District","900331240","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Granby School District","900332640","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Granby School District","900332640","Counts of Bullying Incidents","6","Number"
"2013-2014","Granby School District","900332640","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Granby School District","900332640","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Granby School District","900332640","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Granby School District","900332640","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Granby School District","900332640","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Granby School District","900332640","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Great Oaks Charter School Bridgeport","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Great Oaks Charter School Bridgeport","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Great Oaks Charter School Bridgeport","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Great Oaks Charter School Bridgeport","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Great Oaks Charter School Bridgeport","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Great Oaks Charter School Bridgeport","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Great Oaks Charter School Bridgeport","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Great Oaks Charter School Bridgeport","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Greenwich School District","900133620","Number of students with at least 1 bullying incident","10","Number"
"2012-2013","Greenwich School District","900133620","Counts of Bullying Incidents","10","Number"
"2013-2014","Greenwich School District","900133620","Number of students with at least 1 bullying incident","9","Number"
"2013-2014","Greenwich School District","900133620","Counts of Bullying Incidents","11","Number"
"2014-2015","Greenwich School District","900133620","Number of students with at least 1 bullying incident","7","Number"
"2014-2015","Greenwich School District","900133620","Counts of Bullying Incidents","7","Number"
"2015-2016","Greenwich School District","900133620","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Greenwich School District","900133620","Counts of Bullying Incidents","7","Number"
"2012-2013","Griswold School District","901133900","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Griswold School District","901133900","Counts of Bullying Incidents","6","Number"
"2013-2014","Griswold School District","901133900","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Griswold School District","901133900","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Griswold School District","901133900","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Griswold School District","901133900","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Griswold School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Griswold School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Groton School District","901134250","Number of students with at least 1 bullying incident","9","Number"
"2012-2013","Groton School District","901134250","Counts of Bullying Incidents","10","Number"
"2013-2014","Groton School District","901134250","Number of students with at least 1 bullying incident","9","Number"
"2013-2014","Groton School District","901134250","Counts of Bullying Incidents","9","Number"
"2014-2015","Groton School District","901134250","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Groton School District","901134250","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Groton School District","901134250","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Groton School District","901134250","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Guilford School District","900934950","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Guilford School District","900934950","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Guilford School District","900934950","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Guilford School District","900934950","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Guilford School District","900934950","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Guilford School District","900934950","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Guilford School District","900934950","Number of students with at least 1 bullying incident","16","Number"
"2015-2016","Guilford School District","900934950","Counts of Bullying Incidents","17","Number"
"2012-2013","Hamden School District","900935650","Number of students with at least 1 bullying incident","8","Number"
"2012-2013","Hamden School District","900935650","Counts of Bullying Incidents","10","Number"
"2013-2014","Hamden School District","900935650","Number of students with at least 1 bullying incident","16","Number"
"2013-2014","Hamden School District","900935650","Counts of Bullying Incidents","19","Number"
"2014-2015","Hamden School District","900935650","Number of students with at least 1 bullying incident","18","Number"
"2014-2015","Hamden School District","900935650","Counts of Bullying Incidents","20","Number"
"2015-2016","Hamden School District","900935650","Number of students with at least 1 bullying incident","7","Number"
"2015-2016","Hamden School District","900935650","Counts of Bullying Incidents","10","Number"
"2012-2013","Hampton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Hampton School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Hampton School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Hampton School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Hampton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Hampton School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Hampton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Hampton School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Hartford School District","900337070","Number of students with at least 1 bullying incident","64","Number"
"2012-2013","Hartford School District","900337070","Counts of Bullying Incidents","70","Number"
"2013-2014","Hartford School District","900337070","Number of students with at least 1 bullying incident","77","Number"
"2013-2014","Hartford School District","900337070","Counts of Bullying Incidents","84","Number"
"2014-2015","Hartford School District","900337070","Number of students with at least 1 bullying incident","44","Number"
"2014-2015","Hartford School District","900337070","Counts of Bullying Incidents","47","Number"
"2015-2016","Hartford School District","900337070","Number of students with at least 1 bullying incident","50","Number"
"2015-2016","Hartford School District","900337070","Counts of Bullying Incidents","56","Number"
"2012-2013","Hartland School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Hartland School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Hartland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Hartland School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Hartland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Hartland School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Hartland School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Hartland School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Hebron School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Hebron School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Hebron School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Hebron School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Hebron School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Hebron School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Hebron School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Hebron School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Highville Charter School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Highville Charter School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Highville Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Highville Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Highville Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Highville Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Highville Charter School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Highville Charter School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Integrated Day Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Integrated Day Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Integrated Day Charter School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Integrated Day Charter School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Integrated Day Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Integrated Day Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Integrated Day Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Integrated Day Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Interdistrict School for Arts and Communication District","","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Interdistrict School for Arts and Communication District","","Counts of Bullying Incidents","11","Number"
"2013-2014","Interdistrict School for Arts and Communication District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Interdistrict School for Arts and Communication District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Interdistrict School for Arts and Communication District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Interdistrict School for Arts and Communication District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Interdistrict School for Arts and Communication District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Interdistrict School for Arts and Communication District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Jumoke Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Jumoke Academy District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Jumoke Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Jumoke Academy District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Jumoke Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Jumoke Academy District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Jumoke Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Jumoke Academy District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Kent School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Kent School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Kent School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Kent School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Kent School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Kent School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Kent School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Kent School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Killingly School District","901540500","Number of students with at least 1 bullying incident","24","Number"
"2012-2013","Killingly School District","901540500","Counts of Bullying Incidents","28","Number"
"2013-2014","Killingly School District","901540500","Number of students with at least 1 bullying incident","18","Number"
"2013-2014","Killingly School District","901540500","Counts of Bullying Incidents","19","Number"
"2014-2015","Killingly School District","901540500","Number of students with at least 1 bullying incident","12","Number"
"2014-2015","Killingly School District","901540500","Counts of Bullying Incidents","15","Number"
"2015-2016","Killingly School District","901540500","Number of students with at least 1 bullying incident","16","Number"
"2015-2016","Killingly School District","901540500","Counts of Bullying Incidents","18","Number"
"2012-2013","LEARN","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","LEARN","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","LEARN","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","LEARN","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","LEARN","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","LEARN","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","LEARN","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","LEARN","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Lebanon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Lebanon School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Lebanon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Lebanon School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Lebanon School District","901142390","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Lebanon School District","901142390","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Lebanon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Lebanon School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Ledyard School District","901142600","Number of students with at least 1 bullying incident","8","Number"
"2012-2013","Ledyard School District","901142600","Counts of Bullying Incidents","8","Number"
"2013-2014","Ledyard School District","901142600","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Ledyard School District","901142600","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Ledyard School District","901142600","Number of students with at least 1 bullying incident","8","Number"
"2014-2015","Ledyard School District","901142600","Counts of Bullying Incidents","8","Number"
"2015-2016","Ledyard School District","901142600","Number of students with at least 1 bullying incident","7","Number"
